Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,AAPL,FB,GOOGL,AAPL,FB,GOOGL,AAPL,FB,GOOGL,AAPL,FB,GOOGL,AAPL,FB,GOOGL,AAPL,FB,GOOGL
Date,,,,,,,,,,,,,,,,,,
2018-01-02,166.80401611328125,181.4199981689453,1073.2099609375,172.25999450683594,181.4199981689453,1073.2099609375,172.3000030517578,181.5800018310547,1075.97998046875,169.25999450683594,177.5500030517578,1053.02001953125,170.16000366210938,177.67999267578125,1053.02001953125,25555900.0,18151900.0,1588300.0
2018-01-03,166.77496337890625,184.6699981689453,1091.52001953125,172.22999572753906,184.6699981689453,1091.52001953125,174.5500030517578,184.77999877929688,1096.0999755859375,171.9600067138672,181.3300018310547,1073.4300537109375,172.52999877929688,181.8800048828125,1073.9300537109375,29517900.0,16886600.0,1565900.0
2018-01-04,167.54962158203125,184.3300018310547,1095.760009765625,173.02999877929688,184.3300018310547,1095.760009765625,173.47000122070312,186.2100067138672,1104.0799560546875,172.0800018310547,184.10000610351562,1094.260009765625,172.5399932861328,184.89999389648438,1097.0899658203125,22434600.0,13880900.0,1302600.0
2018-01-05,169.45721435546875,186.85000610351562,1110.2900390625,175.0,186.85000610351562,1110.2900390625,175.3699951171875,186.89999389648438,1113.5799560546875,173.0500030517578,184.92999267578125,1101.800048828125,173.44000244140625,185.58999633789062,1103.449951171875,23660000.0,13574500.0,1512500.0
2018-01-08,168.82781982421875,188.27999877929688,1114.2099609375,174.35000610351562,188.27999877929688,1114.2099609375,175.61000061035156,188.89999389648438,1119.1600341796875,173.92999267578125,186.3300018310547,1110.0,174.35000610351562,187.1999969482422,1111.0,20567800.0,17994700.0,1232200.0
2018-01-09,168.80845642089844,187.8699951171875,1112.7900390625,174.3300018310547,187.8699951171875,1112.7900390625,175.05999755859375,188.8000030517578,1118.43994140625,173.41000366210938,187.10000610351562,1108.199951171875,174.5500030517578,188.6999969482422,1118.43994140625,21584000.0,12393100.0,1340400.0
2018-01-10,168.76971435546875,187.83999633789062,1110.1400146484375,174.2899932861328,187.83999633789062,1110.1400146484375,174.3000030517578,187.88999938964844,1112.780029296875,173.0,185.6300048828125,1103.97998046875,173.16000366210938,186.94000244140625,1107.0,23959900.0,10529900.0,1036700.0
2018-01-11,169.72837829589844,187.77000427246094,1112.050048828125,175.27999877929688,187.77000427246094,1112.050048828125,175.49000549316406,188.39999389648438,1114.8499755859375,174.49000549316406,187.3800048828125,1106.47998046875,174.58999633789062,188.39999389648438,1112.31005859375,18667700.0,9588600.0,1121200.0
